Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Bahrain,MENA,0.122,CA,1.114753246307373,NOT FREE,30.0,1396.808510638298,65.0,1,,0,1,1,1,0,1,"Australia, Bahrain",iOmnicient,Pelco,LSS,0,0
Burma/Myanmar,EAP,0.126,CA,2.0146143436431885,NOT FREE,17.0,2030.465546684507,58.0,0,,1,1,0,0,1,0,0,Huawei,Hikvision,0,0,0
China,EAP,0.078,CA,1.887926697731018,NOT FREE,10.0,249996.900635144,2.0,1,,1,1,1,1,1,1,"Israel, UK, Sweden, Germany, Japan",Mult,Meiya Pico,Semptian,Knowlesys,Megvii
Hong Kong,EAP,0.267,CA,0.8822396993637085,NO DATA,,,,0,3.0,0,1,1,1,1,0,Australia,iOmnicient,Huawei,0,0,0
Laos,EAP,0.133,CA,0.5709966421127319,NO DATA,,,,1,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Morocco,MENA,0.261,CA,0.7748754620552063,PARTLY FREE,53.0,3696.8569447441005,47.0,1,,1,1,1,1,1,0,UK,BAE,Huawei,0,0,0
North Korea,EAP,0.085,CA,2.969906806945801,NO DATA,,,,0,,0,1,0,0,0,0,North Korea,0,0,0,0,0
Qatar,MENA,0.065,CA,1.0769716501235962,NO DATA,,,,1,,1,1,1,0,0,0,"France, UK, Russia",Orange,BAE,Axxonsoft,0,0
Saudi Arabia,MENA,0.016,CA,1.5019538402557373,NOT FREE,24.0,67554.66666666666,3.0,1,24.0,1,1,1,1,1,1,"Israel, HK, UK, Japan",Mult,NEC,Hikvision,BriefCam,Hugslock
Thailand,EAP,0.198,CA,0.44565895199775696,NOT FREE,36.0,6829.20340339174,29.0,1,18.0,1,1,0,1,1,0,Japan,Huawei,ZTE,Megvii,Panasonic,0
United Arab Emirates,MENA,0.1,CA,1.6243783235549927,NOT FREE,27.0,,,1,,1,1,1,1,1,1,"Israel, UK, Japan",Huawei,Hikvsion,Circinus,NEC,BriefCam
Uzbekistan,SCA,0.216,CA,1.1366651058197021,NOT FREE,28.0,,,1,,1,1,0,0,1,0,Russia,Huawei,Speech Technology Center,Infinova,0,0
Vietnam,EAP,0.22,CA,0.8914675116539001,NOT FREE,22.0,5500.0,30.0,1,35.0,0,0,0,1,0,0,0,0,0,0,0,0
Algeria,MENA,0.284,EA,1.3535959720611572,NO DATA,,9583.7242883703,25.0,1,56.0,0,0,1,0,1,0,UK,Huawei,BAE,0,0,0
Angola,AF,0.351,EA,-0.25176185369491577,PARTLY FREE,62.0,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Bangladesh,SCA,0.267,EA,1.3903207778930664,PARTLY FREE,40.0,3894.6952110161583,44.0,1,,1,1,1,1,1,1,0,Huawei,Snaptrends,0,0,0
Belarus,EUR,0.183,EA,1.4817519187927246,NOT FREE,31.0,,,0,,0,1,1,0,0,0,Belarus,Synesis,0,0,0,0
Cambodia,EAP,0.195,EA,0.9475269913673401,PARTLY FREE,43.0,543.2051832729517,84.0,1,,0,0,0,1,0,0,0,0,0,0,0,0
Cameroon,AF,0.299,EA,0.38249289989471436,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Egypt,MENA,0.184,EA,1.2696696519851685,NOT FREE,26.0,3109.9978919942337,51.0,1,49.0,0,1,1,1,1,1,0,Honeywell,Huawei,0,0,0
Hungary,EUR,0.462,EA,-0.5091547966003418,FREE,70.0,1642.3384404121075,63.0,1,23.0,0,1,0,1,0,0,0,0,0,0,0,0
India,SCA,0.444,EA,1.0128743648529053,PARTLY FREE,49.0,66510.28910847427,4.0,0,36.0,1,1,1,1,1,1,"India, Japan",NEC,ADRIN,Infinova,Hikvision,Microsoft
