Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Afghanistan,SCA,2021,0.16,0.021,CA,0.8175721764564514,1.054,1.564,2.702,0.941,-0.202,0.71,-0.427,2.164,Bahrain,MENA,0.122,CA,1.114753246307373,NOT FREE,30.0,1396.808510638298,65.0,1,,0,1,1,1,0,1,"Australia, Bahrain",iOmnicient,Pelco,LSS,0,0
Albania,EUR,2021,0.478,0.403,EA,-0.29108986258506775,0.151,0.31,-0.13,0.117,-0.806,-1.582,-0.912,-1.25,Burma/Myanmar,EAP,0.126,CA,2.0146143436431885,NOT FREE,17.0,2030.465546684507,58.0,0,,1,1,0,0,1,0,0,Huawei,Hikvision,0,0,0
Algeria,MENA,2021,0.284,0.145,EA,1.3535959720611572,2.14,1.675,0.594,1.72,1.383,1.974,1.302,1.37,China,EAP,0.078,CA,1.887926697731018,NOT FREE,10.0,249996.900635144,2.0,1,,1,1,1,1,1,1,"Israel, UK, Sweden, Germany, Japan",Mult,Meiya Pico,Semptian,Knowlesys,Megvii
Angola,AFR,2021,0.351,0.19,EA,-0.25176185369491577,0.129,-0.233,0.419,-0.879,-0.374,-0.608,-0.875,-1.048,Hong Kong,EAP,0.267,CA,0.8822396993637085,NO DATA,,,,0,3.0,0,1,1,1,1,0,Australia,iOmnicient,Huawei,0,0,0
Argentina,WHA,2021,0.819,0.658,ED,-1.1312596797943115,-0.507,-0.925,-1.205,-2.233,-1.849,-1.827,-1.67,-2.632,Laos,EAP,0.133,CA,0.5709966421127319,NO DATA,,,,1,,1,0,1,0,1,0,0,Huawei,0,0,0,0
Armenia,EUR,2021,0.739,0.556,ED,-0.574159562587738,-0.72,0.627,0.771,-1.005,-1.425,-1.831,-1.779,-0.97,Morocco,MENA,0.261,CA,0.7748754620552063,PARTLY FREE,53.0,3696.8569447441005,47.0,1,,1,1,1,1,1,0,UK,BAE,Huawei,0,0,0
Australia,EAP,2021,0.854,0.808,LD,-0.896487295627594,-1.481,-0.677,-1.292,-2.001,-1.285,-1.299,-1.425,-1.369,North Korea,EAP,0.085,CA,2.969906806945801,NO DATA,,,,0,,0,1,0,0,0,0,North Korea,0,0,0,0,0
Austria,EUR,2021,0.825,0.749,ED,-1.1159368753433228,-0.957,-1.204,-0.186,-1.917,-1.711,-1.735,-1.999,-2.543,Qatar,MENA,0.065,CA,1.0769716501235962,NO DATA,,,,1,,1,1,1,0,0,0,"France, UK, Russia",Orange,BAE,Axxonsoft,0,0
Azerbaijan,EUR,2021,0.194,0.068,EA,1.2366946935653687,2.616,2.971,0.975,1.882,0.678,0.5,0.502,1.474,Saudi Arabia,MENA,0.016,CA,1.5019538402557373,NOT FREE,24.0,67554.66666666666,3.0,1,24.0,1,1,1,1,1,1,"Israel, HK, UK, Japan",Mult,NEC,Hikvision,BriefCam,Hugslock
Bahrain,MENA,2021,0.122,0.052,CA,1.114753246307373,1.769,1.337,1.098,2.357,0.883,-0.486,0.934,2.928,Thailand,EAP,0.198,CA,0.44565895199775696,NOT FREE,36.0,6829.20340339174,29.0,1,18.0,1,1,0,1,1,0,Japan,Huawei,ZTE,Megvii,Panasonic,0
Bangladesh,SCA,2021,0.267,0.12,EA,1.3903207778930664,2.44,1.268,0.801,1.351,1.128,1.292,2.561,2.293,United Arab Emirates,MENA,0.1,CA,1.6243783235549927,NOT FREE,27.0,,,1,,1,1,1,1,1,1,"Israel, UK, Japan",Huawei,Hikvsion,Circinus,NEC,BriefCam
